;marca;preco
49;Cadeira Gamer Husky Gaming Hailstorm, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BB;R$ 699,99
50;Cadeira Gamer Husky Gaming Storm, Preto e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BW;R$ 659,99
51;Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Vermelho - MGCH-MX5/RD;R$ 669,99
52;Cadeira Gamer Mymax MX5, Até 150 Kg, Giratória, Branco e Roxo;R$ 653,65
53;Cadeira Gamer XT Racer Viking Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 3D, Preto - XTR-018;R$ 1.039,99
54;Cadeira Gamer Mymax MX8, Até 150Kg, Giratória, Preto e Azul;R$ 508,30
55;Cadeira Gamer DT3 Elise Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto - 13443-5;R$ 949,99
56;Cadeira De Escritório Fortt, Com Rodinha, Verona Branca - Cegf01-b;R$ 399,00
57;Cadeira Gamer Husky Gaming Storm, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BK;R$ 659,99
58;Cadeira Gamer Alpha Gamer Polaris Edition, Até 150Kg, Descanso de Braço 4D,  Preto e Branco - AGPOLARISRE-BK-BL;R$ 879,99
59;Cadeira Gamer Mymax MX0, Peso Suportado até 120Kg, Giratória, Preto e Vermelho - Mgch-mx0/rd;R$ 338,30
60;Cadeira Gamer Prizi, Peso Suportado até  120Kg, Almofadas de Pescoço e Lombar, Azul - Pz1005;R$ 399,90
61;Cadeira Gamer Prizi Runner, 180Kg, Giratória, Azul;R$ 359,90
62;Cadeira Gamer Husky Gaming Avalanche 900, Preto e Vermelho, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA083;R$ 869,99
63;Cadeira Gamer Husky Gaming Avalanche 900, Preto e Azul, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA086;R$ 869,99
64;Cadeira Gamer Preto Healer Lancer Reclinável Giratória;R$ 469,90
65;Cadeira Gamer Mymax Mx5 ,Peso Suportado até 150Kg, Giratória, Preto;R$ 652,80
66;Cadeira Gamer Thunderx3 TGC12 Profissional, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Rosa e Preto - 78203;R$ 1.049,99
67;Cadeira Gamer Mymax Mx8, Giratória, 150Kg, Preto E Vermelho;R$ 507,11
68;Cadeira Gamer ThunderX3 TGC12 Profissional, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Branco e Preto - 78202;R$ 1.049,99
69;Cadeira Gamer Prizi PZ1006E, Até 120 Kg, Couro sintético de PU, Ângulo ajustável, Descanso de pé, Amarela;R$ 399,90
70;Cadeira Gamer Alpha Gamer Polaris Racing Edition,  Até 150Kg, Cilindro de Gás 4, Descanso de Braço 4D, Preto e Verde - AGPOLARISRE-BK-GRN;R$ 719,99
71;Cadeira Gamer ThunderX3 TGC12, Black Green;R$ 1.039,99
72;Cadeira Gamer XT Racer Defender, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto - XTR-034;R$ 979,99
73;Cadeira Gamer Mymax MX0, Até 120Kg, Giratória, Preto e Azul;R$ 338,30
74;Cadeira Gamer PCYes Mad Racer V8 Turbo, Blue - V8TBMADAZ;R$ 999,99
75;Cadeira Gamer Husky Gaming Snow, Preto e Branco, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BW;R$ 419,99
76;Cadeira Gamer Elements Gaming, Cinza, Suportado: 150 kg, Ergonômica De Tecido;R$ 1.679,90
77;Cadeira Gamer Alpha Gamer Nebula XL Fabric, Até 150 kg, Apoio de Braço 4D, Reclinável, Cinza - AGNEBULAXL;R$ 1.349,99
78;Cadeira Gamer Husky Gaming Snow, Preto e Verde, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HGMA018;R$ 394,99
79;Cadeira Gamer DT3 Gamma Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto - 13491-8;R$ 1.199,99
80;Cadeira Gamer Husky Gaming Blizzard, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BB;R$ 649,99
81;Cadeira Gamer Husky Gaming Storm, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BB;R$ 659,99
82;Cadeira Gamer Husky Gaming Blizzard, Preto e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BW;R$ 639,99
83;Cadeira Gamer Alpha Gamer Vega, Preto e Vermelho, Reclinável, com Almofadas, Cilindro de Gás Classe 4;R$ 719,99
